split_name,target,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
random_split,extreme_city_p90_h3,majority_class,baseline,train,227503,24489,0.10764253658193518,0.8923574634180648,0.5,0.0,0.0,0.0,0.4715586144101162,203014,0,24489,0,0.0,1.0,0.5,0.10764253658193518
random_split,extreme_city_p90_h3,majority_class,baseline,validation,48751,5248,0.10764907386515149,0.8923509261348486,0.5,0.0,0.0,0.0,0.47155678886552344,43503,0,5248,0,0.0,1.0,0.5,0.10764907386515149
random_split,extreme_city_p90_h3,majority_class,baseline,test,48751,5248,0.10764907386515149,0.8923509261348486,0.5,0.0,0.0,0.0,0.47155678886552344,43503,0,5248,0,0.0,1.0,0.5,0.10764907386515149
random_split,extreme_city_p90_h3,logistic_regression,linear,train,227503,24489,0.10764253658193518,0.6402465022439264,0.6388820255184602,0.17618165804746957,0.6371432071542326,0.27603470999814245,0.5183451759111796,130055,72959,8886,15603,0.3593791561173121,0.3628567928457675,0.6940253390511126,0.1918269316647642
random_split,extreme_city_p90_h3,logistic_regression,linear,validation,48751,5248,0.10764907386515149,0.6390638140756087,0.6394988971359138,0.17617748872338193,0.6400533536585366,0.27630171917413837,0.5179398960411328,27796,15707,1889,3359,0.36105555938670897,0.3599466463414634,0.6956035771362558,0.19330459886008533
random_split,extreme_city_p90_h3,logistic_regression,linear,test,48751,5248,0.10764907386515149,0.637074111300281,0.6367084128940084,0.1746064947968415,0.6362423780487805,0.27401419720159204,0.5160392463903791,27719,15784,1909,3339,0.36282555226076363,0.3637576219512195,0.6922758086700497,0.19000152721290237
random_split,extreme_city_p90_h3,decision_tree,tree,train,227503,24489,0.10764253658193518,0.6861316114512775,0.7487625174358865,0.23189979314049303,0.8285760953897668,0.3623781119405651,0.5771041391437604,135806,67208,4198,20291,0.3310510605179938,0.17142390461023316,0.8299236909790286,0.3414344565202092
random_split,extreme_city_p90_h3,decision_tree,tree,validation,48751,5248,0.10764907386515149,0.6623453877869172,0.6883184316066231,0.2015437849347884,0.7214176829268293,0.3150667831731369,0.5455065503337951,28504,14999,1462,3786,0.344780819713583,0.2785823170731707,0.7606649127050671,0.25794989714651523
random_split,extreme_city_p90_h3,decision_tree,tree,test,48751,5248,0.10764907386515149,0.6622428257881889,0.690606830346155,0.2023771622625491,0.7267530487804879,0.31659334274093137,0.5461426827043803,28471,15032,1434,3814,0.3455393880881778,0.2732469512195122,0.7584304793529798,0.25778497074903256
random_split,extreme_city_p90_h3,random_forest,ensemble,train,227503,24489,0.10764253658193518,0.9102253596655868,0.9180982256023957,0.5491025052545117,0.928130997590755,0.6899911963814092,0.8187520357273252,184350,18664,1760,22729,0.09193454638596353,0.07186900240924497,0.963816089843668,0.7329851629794173
