split_name,target,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
random_split,extreme_abs_151_h1,random_forest,ensemble,validation,49443,6516,0.1317881196529337,0.9233258499686507,0.9137326683901803,0.6511705314545656,0.9007059545733579,0.7558761027754524,0.8551985094176457,39783,3144,647,5869,0.07324061779299741,0.09929404542664211,0.9762996362991961,0.880328030151249
random_split,extreme_abs_151_h1,random_forest,ensemble,test,49443,6516,0.1317881196529337,0.9193212385979815,0.9095389187202515,0.6380421719654757,0.896255371393493,0.7454208947603549,0.8487429888080107,39614,3313,676,5840,0.07717753395298996,0.10374462860650706,0.974000710129577,0.8722038880195871
temporal_split,extreme_abs_151_h1,majority_class,baseline,train,221280,28930,0.13073933477946492,0.869260665220535,0.5,0.0,0.0,0.0,0.46502913231632137,192350,0,28930,0,0.0,1.0,0.5,0.13073933477946492
temporal_split,extreme_abs_151_h1,majority_class,baseline,validation,55320,7449,0.1346529284164859,0.8653470715835141,0.5,0.0,0.0,0.0,0.4639067360525627,47871,0,7449,0,0.0,1.0,0.5,0.1346529284164859
temporal_split,extreme_abs_151_h1,majority_class,baseline,test,53015,7061,0.13318872017353578,0.8668112798264642,0.5,0.0,0.0,0.0,0.4643272135719266,45954,0,7061,0,0.0,1.0,0.5,0.13318872017353578
temporal_split,extreme_abs_151_h1,logistic_regression,linear,train,221280,28930,0.13073933477946492,0.9025171728127259,0.8934305981892418,0.584347706485111,0.8811268579329415,0.7026863120753105,0.8221937075137085,174218,18132,3439,25491,0.09426566155445802,0.11887314206705842,0.9588025750961127,0.8164265226482974
temporal_split,extreme_abs_151_h1,logistic_regression,linear,validation,55320,7449,0.1346529284164859,0.9068510484454085,0.8997020099316618,0.6047254150702427,0.8899181098133978,0.7201129759382977,0.8321205892821849,43538,4333,820,6629,0.09051408995007416,0.11008189018660224,0.9618503748378967,0.8340036267417223
temporal_split,extreme_abs_151_h1,logistic_regression,linear,test,53015,7061,0.13318872017353578,0.9104404413845139,0.9004547317463335,0.6132602095779062,0.8868432233394703,0.7251042149143122,0.835805222669306,42005,3949,799,6262,0.08593375984680332,0.11315677666052967,0.9616528654662186,0.8313587565215789
temporal_split,extreme_abs_151_h1,decision_tree,tree,train,221280,28930,0.13073933477946492,0.9010439262472885,0.9224938183838063,0.5732253295296004,0.9515381956446595,0.7154496900705626,0.8277787553816368,171855,20495,1402,27528,0.10655055887704705,0.048461804355340476,0.9763382474175764,0.8759390161524245
temporal_split,extreme_abs_151_h1,decision_tree,tree,validation,55320,7449,0.1346529284164859,0.8934381778741866,0.9054414664703376,0.5637931034482758,0.9218687072090214,0.6996790463090325,0.8174533280791957,42558,5313,582,6867,0.11098577426834617,0.07813129279097865,0.9580961698708116,0.8409103481983852
temporal_split,extreme_abs_151_h1,decision_tree,tree,test,53015,7061,0.13318872017353578,0.8947279071960765,0.9057747734988919,0.5642138146476918,0.9208327432375017,0.6997040624159269,0.8179405439874248,40932,5022,559,6502,0.10928319623971798,0.07916725676249824,0.9583893774133487,0.8291388626719886
temporal_split,extreme_abs_151_h1,random_forest,ensemble,train,221280,28930,0.13073933477946492,0.9371384671005062,0.947484347498165,0.6849207130897271,0.961493259592119,0.7999769923211872,0.8813432833290413,179554,12796,1114,27816,0.06652456459578893,0.038506740407881095,0.9876632952572071,0.9265284955210816
temporal_split,extreme_abs_151_h1,random_forest,ensemble,validation,55320,7449,0.1346529284164859,0.9222704266088214,0.9153560961630227,0.6521697110273509,0.9058934085112096,0.7583726680152844,0.8560292102301229,44272,3599,701,6748,0.0751812161851643,0.09410659148879044,0.9766862479473302,0.8861611576390284
temporal_split,extreme_abs_151_h1,random_forest,ensemble,test,53015,7061,0.13318872017353578,0.9231726869753843,0.9148109659014629,0.6529170931422723,0.9034131142897607,0.7580060602459747,0.8561720566815811,42563,3391,682,6379,0.07379118248683467,0.09658688571023934,0.9760463914589762,0.879513667108691
